product_name,current_price,price,percent_discount,rating,link,brand_id,series,genre_name
Asus TUF Gaming F15 FX506LHB i5 10300H (HN188W),15.190.000₫,16.490.000₫,-7%,152,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx506lhb-i5-hn188w,02,TUF Gaming,laptop
Asus TUF Gaming F15 FX507ZU4 i7 12700H (LP520W),27.690.000₫,34.990.000₫,-20%,4,https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx507zu4-i7-lp520w,02,TUF Gaming,laptop
Asus TUF Gaming F15 FX507VV4 i9 13900H (LP382W),36.690.000₫,42.990.000₫,-14%,,https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx507vv4-i9-lp382w,02,TUF Gaming,laptop
Asus TUF Gaming A15 FA507XI R9 7940HS (LP420W),41.190.000₫,45.490.000₫,-9%,,https://www.thegioididong.com/laptop/asus-tuf-gaming-a15-fa507xi-r9-lp420w,02,TUF Gaming,laptop
Asus Gaming TUF Dash F15 FX517ZR i7 12650H (HN086W),31.190.000₫,35.990.000₫,,,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx517z-i7-hn086w,02,TUF Gaming,laptop
Asus TUF Gaming F15 FX507ZM i7 12700H (HN123W),28.690.000₫,32.990.000₫,-13%,6,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx507z-i7-hn123w,02,TUF Gaming,laptop
Asus TUF Gaming F15 FX507ZC i7 12700H (HN124W),24.390.000₫,32.490.000₫,-24%,25,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx507zc-i7-hn124w,02,TUF Gaming,laptop
Asus TUF Gaming F15 FX506HE i7 11800H (HN378W),20.990.000₫,23.990.000₫,-12%,,https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx506he-i7-hn378w,02,TUF Gaming,laptop
Asus TUF Gaming F15 FX506HC i5 11400H (HN144W),18.690.000₫,22.990.000₫,-18%,53,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx506hc-i5-hn144w,02,TUF Gaming,laptop
Asus Gaming ROG Strix G15 G513IH R7 4800H (HN015W),17.690.000₫,22.990.000₫,-23%,99,https://www.thegioididong.com/laptop/asus-rog-strix-gaming-g513ih-r7-hn015w,02,ROG,laptop
Asus Gaming ROG Strix G17 G713RW R9 6900HX (LL178W),44.190.000₫,57.990.000₫,-23%,,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-g17-g713r-r9-ll178w,02,ROG,laptop
Asus Gaming ROG Strix SCAR 17 G733PZ R9 7945HX (LL980W),79.200.000₫,90.000.000₫,-12%,,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-scar-17-g733pz-r9-ll980w,02,ROG,laptop
Asus Gaming ROG Strix G16 G614JU i7 13650HX (N3777W),38.690.000₫,43.990.000₫,-12%,,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-g16-g614ju-i7-n3777w,02,ROG,laptop
Asus Gaming ROG Strix SCAR 18 G834JY i9 13980HX (N6039W),117.700.000₫,125.000.000₫,,,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-scar-18-g834jy-i9-n6039w,02,ROG,laptop
Asus Gaming ROG Zephyrus M16 GU604VI i9 13900H (NM779W),75.690.000₫,80.990.000₫,-6%,,https://www.thegioididong.com/laptop/asus-gaming-rog-zephyrus-m16-gu604vi-i9-nm779w,02,ROG,laptop
Asus Gaming ROG Strix SCAR 15 G533ZW i9 12900H (LN134W),68.690.000₫,69.990.000₫,,,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-scar-15-g533zw-i9-ln134w,02,ROG,laptop
Asus Gaming ROG Strix G18 G814JI i9 13980HX (N6063W),65.190.000₫,70.990.000₫,-8%,,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-g18-g814ji-i9-n6063w,02,ROG,laptop
Asus Gaming ROG Strix G16 G614JI i7 13650HX (N4084W),54.190.000₫,60.990.000₫,-11%,,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-g16-g614ji-i7-n4084w,02,ROG,laptop
Asus Gaming ROG Strix G16 G614JV i7 13650HX (N4455W),44.190.000₫,50.990.000₫,,,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-g16-g614jv-i7-n4455w,02,ROG,laptop
Asus Gaming ROG Zephyrus G16 GU603VU i7 13620H (N3898W),39.690.000₫,44.990.000₫,-11%,,https://www.thegioididong.com/laptop/asus-gaming-rog-zephyrus-g16-gu603vu-i7-n3898w,02,ROG,laptop
Asus Gaming ROG Zephyrus G14 GA402NJ R7 7735HS (L4056W),39.690.000₫,42.990.000₫,-7%,,https://www.thegioididong.com/laptop/asus-gaming-rog-zephyrus-g14-ga402nj-r7-l4056w,02,ROG,laptop
Asus Gaming ROG Strix G16 G614JU i5 13450HX (N3135W),35.390.000₫,39.990.000₫,-11%,,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-g16-g614ju-i5-n3135w,02,ROG,laptop
Asus Vivobook Pro 15 OLED K6502VU i5 13500H (MA089W),35.190.000₫,37.990.000₫,-7%,,https://www.thegioididong.com/laptop/asus-vivobook-pro-15-oled-k6502vu-i5-ma089w,02,VivoBook Pro OLED,laptop
Asus Vivobook Pro 16 OLED K6602VV i9 13900H (MX077W),45.190.000₫,48.990.000₫,-7%,,https://www.thegioididong.com/laptop/asus-vivobook-pro-16-oled-k6602vv-i9-mx077w,02,VivoBook Pro OLED,laptop
